id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,percent13,percent14,percent15,percent16,percent17,percent18,percent19,percent20,percent21,percent22,percent23,percent24,percent25,percent26,winner_index
64,458985,432244,229,175503,26315,230196,26543,175282,7763,194062,1,0,55510,1560,17765,11463,74156,12556,1223,799,1474,4374,233,996,1134,10819,0.275,0.0077,0.088,0.0568,0.3674,0.0622,0.0061,0.004,0.0073,0.0217,0.0012,0.0049,0.0056,0.0536,17
65,484522,455043,0,257629,84430,112984,84429,257419,5799,336049,0,0,48895,1217,14626,6614,216202,35252,1090,685,1240,2666,409,1000,1339,4814,0.143,0.0036,0.0428,0.0193,0.6325,0.1031,0.0032,0.002,0.0036,0.0078,0.0012,0.0029,0.0039,0.0141,17
66,456139,448658,0,297742,68793,82123,68758,297155,4864,361049,0,0,42150,1283,15132,6480,247691,37255,1272,732,1129,2062,446,989,1139,3289,0.1152,0.0035,0.0414,0.0177,0.6769,0.1018,0.0035,0.002,0.0031,0.0056,0.0012,0.0027,0.0031,0.009,17
67,502797,452214,0,266924,46654,138636,46652,266469,5841,307280,0,0,45116,1583,15982,8083,191858,30259,1512,597,1668,3012,418,1267,1352,4573,0.1441,0.0051,0.051,0.0258,0.6127,0.0966,0.0048,0.0019,0.0053,0.0096,0.0013,0.004,0.0043,0.0146,17
68,446238,430145,0,172994,73142,184009,73140,172765,6699,239206,0,0,52789,1261,14879,12092,127486,14990,960,553,1791,3621,377,1091,1347,5969,0.2147,0.0051,0.0605,0.0492,0.5184,0.061,0.0039,0.0022,0.0073,0.0147,0.0015,0.0044,0.0055,0.0243,17
69,486263,457946,984,203121,17011,236830,17993,202417,6437,213973,0,0,58229,2497,35027,16527,56001,13742,2402,952,7574,3811,319,2081,1885,12926,0.2642,0.0113,0.1589,0.075,0.2541,0.0623,0.0109,0.0043,0.0344,0.0173,0.0014,0.0094,0.0086,0.0586,13
70,484093,480718,2356,195910,10545,271906,12872,195620,7277,201215,1,0,55462,2324,34388,16600,49111,13948,2336,1194,6411,3685,309,1947,1826,11674,0.266,0.0111,0.1649,0.0796,0.2356,0.0669,0.0112,0.0057,0.0307,0.0177,0.0015,0.0093,0.0088,0.056,13
71,612971,531786,2108,220877,32296,276505,34396,220262,8786,245872,0,0,67622,1853,36080,17927,87390,14120,1389,658,1828,5798,336,1444,1330,8097,0.2655,0.0073,0.1417,0.0704,0.3432,0.0554,0.0055,0.0026,0.0072,0.0228,0.0013,0.0057,0.0052,0.0318,17
72,427936,410800,916,164741,10300,234843,11214,164645,5121,170738,0,0,32223,1857,24216,17218,54620,17481,9946,649,1380,1521,228,1460,2067,5872,0.1832,0.0106,0.1377,0.0979,0.3106,0.0994,0.0566,0.0037,0.0078,0.0086,0.0013,0.0083,0.0118,0.0334,17
73,449939,407112,1395,174526,13138,218053,14533,174387,4265,184655,0,0,35983,1861,22927,18087,62877,23251,5550,658,1616,1805,211,1532,2248,6049,0.1905,0.0099,0.1214,0.0957,0.3328,0.1231,0.0294,0.0035,0.0086,0.0096,0.0011,0.0081,0.0119,0.032,17
